,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,ATTO,246,69,350,87
1,PRIMG.,705,66,841,84
2,13,92,79,112,92
3,Eur.,573,86,617,106
4,No,629,87,659,106
5,no.,665,88,698,107
6,Difciogli,705,87,789,113
7,Per,596,109,633,132
8,pietà,635,109,685,132
9,quefti,688,111,740,132
10,lacci.,750,109,801,128
11,Cre.,572,131,612,150
12,Or,629,130,659,153
13,giacchè,658,129,725,154
14,vuoi,734,134,773,150
15,Alle,596,155,635,171
16,brame,641,153,699,171
17,del,706,155,734,171
18,Padre,740,155,795,171
19,Renderti,596,175,679,195
20,si,686,176,699,193
21,"oftinato,",703,175,787,198
22,SCENA,209,114,329,131
23,II.,358,111,386,133
24,"Alcefte,",211,158,291,181
25,e,301,165,311,177
26,detti.,322,158,381,175
27,Ubbidifci,596,198,682,220
28,il,684,196,702,220
29,tuo,704,196,735,220
30,Rè.,744,198,781,215
31,Rifpetta,796,196,869,220
32,il,871,196,885,220
33,Fato,893,198,935,217
34,"No,",664,221,705,240
35,tolerar,716,221,778,238
36,non,783,225,819,237
37,voglio,824,218,886,240
38,Il,685,244,700,260
39,tuo,710,241,740,264
40,difprezzo,742,240,844,263
41,altero:,840,239,908,259
42,Saprò,685,265,739,285
43,adoprar,745,262,818,286
44,P'impero,824,264,902,286
45,Di,676,284,731,307
46,"Giudice,",733,284,803,307
47,e,810,292,820,303
48,di,826,286,843,303
49,Rè.,850,285,887,303
50,O,686,307,698,329
51,frena,700,308,736,331
52,tanto,745,313,793,332
53,orgoglio,799,309,879,332
54,Del,687,331,722,349
55,tuo,729,336,758,347
56,oftinato,764,329,836,348
57,"Coro,",842,329,899,348
58,O,710,352,724,375
59,quanto,725,352,772,374
60,fù,780,351,798,370
61,l'Amore,805,353,883,368
62,Sara,688,373,728,392
63,lo,736,376,752,392
64,fdegno,758,374,821,394
65,in,827,373,843,390
66,mè.,849,373,885,390
67,Hồ,709,397,739,414
68,&c.,745,392,796,413
69,(parte,806,394,869,418
70,con,871,392,902,421
71,feguito),904,392,987,421
72,Ignor.,188,203,254,231
73,Lieto,190,223,241,245
74,così,247,223,283,244
75,che,284,226,313,242
76,rechi,321,225,364,241
77,Alcefte?,374,223,453,242
78,Alc.,90,206,133,225
79,Cre.,93,229,133,246
80,Eur.,93,251,137,266
81,(Qualche,151,248,241,270
82,nuova,247,246,302,268
83,fventura.),309,246,417,268
84,Alc.,100,271,146,292
85,Di,150,271,171,287
86,Tebe,180,270,228,287
87,entro,234,276,282,288
88,le,290,270,305,286
89,Mura,314,271,362,287
90,"Antiope,",121,291,212,314
91,che,214,291,240,314
92,"attendevi,",246,291,352,314
93,è,354,290,368,313
94,giunta.,370,290,444,312
95,Cre.,94,316,135,333
96,Or,151,314,179,333
97,vanne;,182,318,247,331
98,Le,118,337,142,354
99,"diri,",150,335,205,354
100,che,213,335,242,353
101,ne,248,341,269,353
102,venga,275,340,329,359
103,Nel,115,359,153,377
104,deflinato,159,356,243,376
105,"luogo,",250,358,301,379
106,ove,308,356,351,378
107,le,356,358,373,375
108,Nozze,379,356,440,379
109,"D'Ermione,",115,380,237,402
110,e,246,385,255,402
111,d'Eurifteo,262,378,356,396
112,prima,366,377,418,402
113,d'ogn'al-,424,377,510,401
114,Si,115,401,142,424
115,dovran,141,405,204,424
116,celebrar.,210,402,296,418
117,L'avvifo,305,401,380,419
118,ancora,386,406,447,419
119,(trQ,470,401,507,420
120,Ad,117,426,144,442
121,Ermione,155,425,233,443
122,ne,239,429,259,440
123,reca,265,428,304,441
124,Ale.,94,446,138,465
125,Infieme,151,445,223,464
126,appunto,230,450,307,467
127,Io,115,466,146,488
128,le,143,471,160,487
129,lafciai:,167,467,233,485
130,e,241,466,253,488
131,il,256,466,276,488
132,cenno,278,472,332,485
133,Or,124,489,156,513
134,volo,159,489,194,513
135,ad,200,490,220,513
136,efeguir.,226,489,303,512
137,Lea.,95,515,136,532
138,(Di,150,514,188,534
139,più,197,512,225,534
140,che,232,510,260,534
141,fpero,264,510,314,533
142,?),320,509,342,532
143,Eur.,95,532,140,555
144,Ah,153,532,182,554
145,quefto,194,532,253,556
146,colpo,263,532,313,555
147,ò,322,534,334,556
148,"Numi,",347,533,411,556
149,è,420,532,430,556
150,troppo,438,537,507,556
151,fiero.),164,554,230,575
152,Cre.,95,580,139,599
153,"Prence,",151,580,228,598
154,che,235,576,266,600
155,penfi,272,575,320,600
156,?,323,575,330,595
157,Eur.,96,603,140,620
158,Oh,154,602,184,618
159,"Dio,",192,601,237,619
160,Che,117,625,156,647
161,fpergiuro,158,621,252,645
162,divengo,257,621,335,643
163,Se,118,644,145,666
164,difcendo,145,643,226,662
165,a,232,649,240,660
166,tal,246,644,268,660
167,Nodo.,275,642,337,660
168,Innanzi,349,644,419,660
169,ai,431,640,448,662
170,Numi,458,639,505,661
171,Giurai,117,668,179,684
172,di,185,668,202,683
173,ferbar,209,665,264,683
174,fede,269,665,309,683
175,Al,122,691,144,708
176,cener,152,694,201,706
177,della,206,688,251,710
178,"Spofa,",257,687,319,709
179,e,324,694,334,705
180,lo,339,689,357,706
