,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,37,1006,99,1022,113
1,ATTO,669,133,788,159
2,SECONDO.,814,135,1035,164
3,SCENA,740,200,837,217
4,PRIMA.,856,201,963,217
5,"Capanne,",717,255,790,272
6,come,800,260,838,269
7,nell'Atto,848,256,916,270
8,Primo.,926,254,982,270
9,"Montezo,",767,308,842,323
10,ed,852,310,868,321
11,Emira.,878,308,932,322
12,Mon.,668,353,702,376
13,Non,706,354,754,376
14,mi,764,356,784,373
15,"pregare,",793,362,847,378
16,"Emira,",852,358,918,381
17,Non,700,378,731,391
18,mi,743,378,761,391
19,parlar,770,375,819,395
20,per,824,377,850,395
21,lei:,859,378,884,391
22,più,894,379,918,396
23,figlia,927,378,965,396
24,mia,976,380,1002,393
25,Idalide,700,394,752,411
26,non,761,399,786,408
27,ė.,796,396,812,409
28,Emi.,663,413,695,425
29,L'involontario,700,430,816,447
30,errore.,823,434,878,446
31,Mon.,663,450,696,462
32,La,697,466,726,482
33,nuova,728,470,772,479
34,sacra,782,470,819,480
35,fede,828,466,858,479
36,Tradir,698,482,749,497
37,così,759,484,786,496
38,?,791,485,796,496
39,Fuggir,806,483,855,501
40,già,865,485,886,501
41,presso,896,488,943,503
42,all',952,485,975,498
43,ara?,979,486,1011,499
44,Emi.Rapita,662,500,746,517
45,ella,757,503,783,515
46,fuggia;,794,500,847,520
47,E,711,517,721,534
48,poi,718,517,740,534
49,se,749,523,763,532
50,di,772,520,786,533
51,Zamoro,797,518,854,533
52,Men,698,535,732,549
53,vivo,742,538,776,551
54,era,785,542,807,551
55,l'amor,817,537,867,551
56,tarda,877,537,914,552
57,l'aita,924,539,966,552
58,Più,695,553,722,571
59,non,732,558,758,567
60,respirerebbe,768,554,859,573
61,aure,869,559,901,569
62,di,911,556,924,569
63,vita.,936,558,973,570
64,Min.Morta,661,571,744,586
65,innocente,755,570,828,587
66,almen,833,573,877,588
67,saria.,883,574,925,588
68,-,935,582,943,585
69,Già,952,574,978,587
70,freme,988,575,1029,590
71,E,705,587,716,604
72,minaccia,717,590,781,604
73,Gusman,791,590,850,605
74,per,862,595,884,608
75,l'arsa,894,592,937,605
76,"rocca,",947,597,994,608
77,Sospetta,696,607,757,626
78,già:,766,609,796,625
79,può,807,610,833,625
80,"solo,",844,607,880,627
81,Porgendo,696,623,773,642
82,a,778,630,784,638
83,lui,795,623,814,639
84,la,826,627,837,639
85,destra,847,623,891,640
86,Idalide,696,640,747,656
87,calmarlo:,758,643,831,659
88,Un,844,643,868,660
89,cieco,875,644,921,661
90,amore,921,648,967,660
91,Ceda,696,660,732,674
92,alla,743,662,768,675
93,patria.,779,659,833,680
94,Emi.,660,677,693,689
95,Mon.,662,692,699,713
96,Non,701,693,729,712
97,più;,738,695,769,714
98,lo,779,697,792,710
99,voglio:,801,696,854,715
100,a,864,702,871,710
101,lei,880,698,898,711
102,Dona,803,413,843,427
103,all',852,414,874,428
104,amore,881,417,926,429
105,Una,874,449,905,463
106,mia,915,449,942,464
107,figlia!,952,449,998,468
108,-,1008,458,1016,461
109,E,840,678,848,694
110,sia,848,680,867,694
111,infelice,878,679,934,695
112,un,945,685,962,695
113,cuore.,972,685,1019,697
114,B,822,713,858,732
115,3,863,719,869,732
116,Ri-,988,718,1011,731
